run_id,cn_file,INP_count_recomputed,INP_count_ice,INP_count_abs_diff,INP_count_rel_diff_display,INP_cn_0_recomputed,INP_cn_0_ice,INP_cn_0_abs_diff,INP_cn_0_rel_diff_display,INP_cn_flush_recomputed,INP_cn_flush_ice,INP_cn_flush_abs_diff,INP_cn_flush_rel_diff_display,dt_inferred_s,t_flush_s,t_exp_s,flow_flush_mean,flow_exp_mean
28,D:\Download\PINE-07-06\20260410_test\L1_Data\exportdata\exportdata_cn\OP1\PINE-07-06_20260410_test_op_id_1_run_id_28_cn.txt,2084.0,2084.0,0.0,0.000000,696.2913464751086,696.253,0.03834647510859668,0.005508,0.5383000484470044,0.538,0.00030004844700437516,0.055771,3.0,222.0,54.0,2.5104054054054052,3.3255555555555554
28,D:\Download\PINE-07-06\20260410_test\L1_Data\exportdata\exportdata_cn\OP1\PINE-07-06_20260410_test_op_id_1_run_id_28_cn_1sec.txt,2084.0,2084.0,0.0,0.000000,667.4495569552686,696.253,28.803443044731466,4.136922,0.5480853551593102,0.538,0.010085355159310194,1.874601,1.0,218.0,56.0,2.510825688073394,3.3453571428571425
29,D:\Download\PINE-07-06\20260410_test\L1_Data\exportdata\exportdata_cn\OP1\PINE-07-06_20260410_test_op_id_1_run_id_29_cn.txt,100.0,100.0,0.0,0.000000,33.7609723160027,33.751,0.009972316002702541,0.029547,0.0,0.0,0.0,NA(denominator=0),3.0,222.0,54.0,2.513108108108108,3.2911111111111113
29,D:\Download\PINE-07-06\20260410_test\L1_Data\exportdata\exportdata_cn\OP1\PINE-07-06_20260410_test_op_id_1_run_id_29_cn_1sec.txt,100.0,100.0,0.0,0.000000,32.42016534284325,33.751,1.3308346571567498,3.943097,0.0,0.0,0.0,NA(denominator=0),1.0,218.0,56.0,2.5128899082568803,3.3048214285714286
30,D:\Download\PINE-07-06\20260410_test\L1_Data\exportdata\exportdata_cn\OP1\PINE-07-06_20260410_test_op_id_1_run_id_30_cn.txt,0.0,0.0,0.0,NA(denominator=0),0.0,0.0,0.0,NA(denominator=0),0.0,0.0,0.0,NA(denominator=0),3.0,222.0,54.0,2.513513513513513,3.1755555555555555
30,D:\Download\PINE-07-06\20260410_test\L1_Data\exportdata\exportdata_cn\OP1\PINE-07-06_20260410_test_op_id_1_run_id_30_cn_1sec.txt,0.0,0.0,0.0,NA(denominator=0),0.0,0.0,0.0,NA(denominator=0),0.0,0.0,0.0,NA(denominator=0),1.0,218.0,56.0,2.5133486238532106,3.1926785714285715
31,D:\Download\PINE-07-06\20260410_test\L1_Data\exportdata\exportdata_cn\OP1\PINE-07-06_20260410_test_op_id_1_run_id_31_cn.txt,2.0,2.0,0.0,0.000000,0.7048458149779735,0.705,0.0001541850220264651,0.021870,0.0,0.0,0.0,NA(denominator=0),3.0,222.0,54.0,2.5137837837837838,3.152777777777778
31,D:\Download\PINE-07-06\20260410_test\L1_Data\exportdata\exportdata_cn\OP1\PINE-07-06_20260410_test_op_id_1_run_id_31_cn_1sec.txt,2.0,2.0,0.0,0.000000,0.6755615605472048,0.705,0.029438439452795118,4.175665,0.0,0.0,0.0,NA(denominator=0),1.0,218.0,56.0,2.513669724770642,3.1719642857142856
32,D:\Download\PINE-07-06\20260410_test\L1_Data\exportdata\exportdata_cn\OP1\PINE-07-06_20260410_test_op_id_1_run_id_32_cn.txt,0.0,0.0,0.0,NA(denominator=0),0.0,0.0,0.0,NA(denominator=0),0.0,0.0,0.0,NA(denominator=0),3.0,222.0,54.0,2.51054054054054,3.1550000000000002
32,D:\Download\PINE-07-06\20260410_test\L1_Data\exportdata\exportdata_cn\OP1\PINE-07-06_20260410_test_op_id_1_run_id_32_cn_1sec.txt,0.0,0.0,0.0,NA(denominator=0),0.0,0.0,0.0,NA(denominator=0),0.0,0.0,0.0,NA(denominator=0),1.0,218.0,56.0,2.510779816513761,3.1735714285714285
33,D:\Download\PINE-07-06\20260410_test\L1_Data\exportdata\exportdata_cn\OP1\PINE-07-06_20260410_test_op_id_1_run_id_33_cn.txt,2.0,2.0,0.0,0.000000,0.6984459577440195,0.698,0.000445957744019565,0.063891,0.0,0.0,0.0,NA(denominator=0),3.0,222.0,54.0,2.510135135135134,3.1816666666666666
33,D:\Download\PINE-07-06\20260410_test\L1_Data\exportdata\exportdata_cn\OP1\PINE-07-06_20260410_test_op_id_1_run_id_33_cn_1sec.txt,2.0,2.0,0.0,0.000000,0.6837217252578199,0.698,0.01427827474218002,2.045598,0.0,0.0,0.0,NA(denominator=0),1.0,219.0,55.0,2.5104587155963296,3.1910909090909096
34,D:\Download\PINE-07-06\20260410_test\L1_Data\exportdata\exportdata_cn\OP1\PINE-07-06_20260410_test_op_id_1_run_id_34_cn.txt,10.0,10.0,0.0,0.000000,3.472222222222222,3.472,0.0002222222222219017,0.006400,0.10767739851405193,0.108,0.00032260148594806526,0.298705,3.0,222.0,54.0,2.5099999999999993,3.2
34,D:\Download\PINE-07-06\20260410_test\L1_Data\exportdata\exportdata_cn\OP1\PINE-07-06_20260410_test_op_id_1_run_id_34_cn_1sec.txt,10.0,10.0,0.0,0.000000,3.398855718574746,3.472,0.07314428142525387,2.106690,0.10915243137040881,0.108,0.0011524313704088102,1.067066,1.0,219.0,55.0,2.5099999999999993,3.2096363636363643
35,D:\Download\PINE-07-06\20260410_test\L1_Data\exportdata\exportdata_cn\OP1\PINE-07-06_20260410_test_op_id_1_run_id_35_cn.txt,33.0,33.0,0.0,0.000000,11.373427537480614,11.372,0.0014275374806143049,0.012553,0.0,0.0,0.0,NA(denominator=0),3.0,222.0,54.0,2.510135135135134,3.223888888888889
35,D:\Download\PINE-07-06\20260410_test\L1_Data\exportdata\exportdata_cn\OP1\PINE-07-06_20260410_test_op_id_1_run_id_35_cn_1sec.txt,33.0,33.0,0.0,0.000000,11.131725417439702,11.372,0.2402745825602981,2.112861,0.0,0.0,0.0,NA(denominator=0),1.0,219.0,55.0,2.510136986301369,3.234
36,D:\Download\PINE-07-06\20260410_test\L1_Data\exportdata\exportdata_cn\OP1\PINE-07-06_20260410_test_op_id_1_run_id_36_cn.txt,147.0,147.0,0.0,0.000000,50.0595947556615,50.071,0.011405244338497766,0.022778,0.0,0.0,0.0,NA(denominator=0),3.0,222.0,54.0,2.510135135135134,3.2627777777777776
36,D:\Download\PINE-07-06\20260410_test\L1_Data\exportdata\exportdata_cn\OP1\PINE-07-06_20260410_test_op_id_1_run_id_36_cn_1sec.txt,147.0,147.0,0.0,0.000000,49.008168028004675,50.071,1.0628319719953225,2.122650,0.0,0.0,0.0,NA(denominator=0),1.0,219.0,55.0,2.5101826484018255,3.2721818181818176
37,D:\Download\PINE-07-06\20260410_test\L1_Data\exportdata\exportdata_cn\OP1\PINE-07-06_20260410_test_op_id_1_run_id_37_cn.txt,471.0,471.0,0.0,0.000000,158.9068825910931,158.871,0.03588259109309888,0.022586,0.0,0.0,0.0,NA(denominator=0),3.0,222.0,54.0,2.5101351351351346,3.2933333333333334
37,D:\Download\PINE-07-06\20260410_test\L1_Data\exportdata\exportdata_cn\OP1\PINE-07-06_20260410_test_op_id_1_run_id_37_cn_1sec.txt,471.0,471.0,0.0,0.000000,155.52253590886582,158.871,3.34846409113419,2.107662,0.0,0.0,0.0,NA(denominator=0),1.0,219.0,55.0,2.510136986301369,3.303818181818181
